CLUES|PAISNACIMIENTO|CURPPRESTADOR|NOMBREPRESTADOR|PRIMERAPELLIDOPRESTADOR|SEGUNDOAPELLIDOPRESTADOR|TIPOPERSONAL|PROGRAMASMYMG|CURPPACIENTE|NOMBRE|PRIMERAPELLIDO|SEGUNDOAPELLIDO|FECHANACIMIENTO|PAISNACPACIENTE|ENTIDADNACIMIENTO|SEXOCURP|SEXOBIOLOGICO|SEAUTODENOMINAAFROMEXICANO|SECONSIDERAINDIGENA|MIGRANTE|PAISPROCEDENCIA|GENERO|DERECHOHABIENCIA|FECHACONSULTA|SERVICIOATENCION|PESO|TALLA|CIRCUNFERENCIACINTURA|SISTOLICA|DIASTOLICA|FRECUENCIACARDIACA|FRECUENCIARESPIRATORIA|TEMPERATURA|SATURACIONOXIGENO|GLUCEMIA|TIPOMEDICION|PRIMERAVEZANIO|RELACIONTEMPORAL|CODIGOCIEDIAGNOSTICO1|PRIMERAVEZDIAGNOSTICO2|CODIGOCIEDIAGNOSTICO2|PRIMERAVEZDIAGNOSTICO3|CODIGOCIEDIAGNOSTICO3|PLACABACTERIANA|CEPILLADO|HILODENTAL|LIMPIEZADENTAL|PROTESIS|TEJIDOSBUCALES|AUTOEXAMEN|FLUOR|RASPADOALISADOPERIODONTAL|BARNIZFLUOR|FOSETASFISURAS|AMALGAMAS|RESINAS|IONOMEROVIDRIO|ALCASITE|OBTURACIONTEMPORAL|DIENTETEMP|DIENTEPERM|PULPAR|CIRUGIABUCAL|FARMACOTERAPIA|OTRASATENCIONES|RADIOGRAFIAS|ORIENTACIONSALUDBUCAL|TRATAMIENTOINTEGRAL|LINEAVIDA|CARTILLASALUD|ESQUEMAVACUNACION|REFERIDOPOR|CONTRARREFERIDO|TELEMEDICINA|TELECONSULTA|ESTUDIOSTELECONSULTA|MODALIDADCONSULDIST
DFSSA000123|142|LECD850812MDFNNN01|MA. DIANA|LEON|CANTU|12|1|SABL660422HOCRNC02|JOSE LUCIANO|SARCO|BANCO|22/04/1966|142|20|1|1|-1|-1|2|53|1|2&3|08/01/2024|10|85|175|75|120|85|86|92|36.8|92|110|1|1|0|K020|-1||-1||1|1|1|1|0|0|0|1|0|0|2|2|1|2|0|0|0|0|0|0|0|0|0|1|0|0|1|1|-1|0|0|0|-1|-1
DFSSA000415|54|LEXD850812MDFNXN05|MA. DIANA|LEON|XX|14|1|SAVJ660422HOCNCS04|JOSE|SANABRIA|VACA|22/04/1966|142|20|1|1|0|1|1|142|1|2|08/01/2024|11|999|999|0|0|0|0|0|0|0|0|-1|1|1|B465|1|K010|-1||1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1|1|1|1|5|0|1|0|-1|1
ASSSA000066|54|ROPJ900914HDFSXS04|MARIA JOSE|ROSAS|DE LA PEÑA|23|0|XXXX999999XXXXXX99|MARIO|XX|XX|05/05/2013|142|15|3|3|3|3|1|142|88|0|08/01/2024|10|70.522|168|75|120|80|85|96|36.9|92|100|0|1|0|K008|1|K020|-1||1|1|1|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|-1|0|0|1|2&3|1
ASSSA000066|54|ROPJ900914HDFSXS04|MARIA JOSE|ROSAS|DE LA PEÑA|14|1|AEMM190913MDFLXRA1|MARIA|ALEGRIA|MUÑOZ|13/09/2019|142|09|2|2|-1|-1|-1|-1|2|99|08/01/2024|12|25.522|120|60|110|80|120|85|36.9|92|120|1|1|0|Z965|1|E752|-1||0|0|-1|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|0|1|1|0|0|0|0|0|-1|0|0|1|1|1
ASSSA000066|142|VAXL800514MDFGXX07|LIA|VAGO|XX|14|0|PXNE821107MDFRBS04|EPERANZA|PERA|NABOR|07/11/1982|142|09|2|2|2|2|3|142|6|10&14|08/01/2024|31|78.555|160|85|130|100|120|89|37.8|96|80|0|1|0|Z965|-1||-1||1|0|1|0|0|0|0|1|1|1|1|1|3|1|1|1|1|1|1|0|0|1|1|0|0|0|0|0|-1|1|0|1|2&3|1
ASSSA000066|54|XXXX999999XXXXXX99|LUZ|MINA|XX|14|1|HUTO990616MMCRRS08|OSIRIS|HUERTA|TRUJILLO|16/06/1999|142|09|1|1|2|2|0|-1|3|11|08/01/2024|31|68|164|60|120|90|100|78|37.6|90|120|1|1|1|R69X|-1||-1||1|0|1|0|1|0|1|0|0|0|1|1|1|1|0|1|0|2|1|0|1|4|1|0|0|0|0|0|-1|0|1|0|-1|-1
ASSSA000066|54|EALK991103MBCSMR07|KARLA|ESTRADA|LIMON|12|1|BAMM041009MCSRRRA5|MARTHA|BARRERA|MARIN|09/10/2004|142|15|2|2|1|1|1|142|2|0|08/01/2024|10|69|155|70|120|95|110|98|36.9|92|58|1|1|1|K145|-1||-1||0|1|0|1|0|0|1|0|1|0|2|2|1|1|1|1|0|0|1|0|0|1|0|0|0|0|0|0|5|0|0|1|4&6|1
ASSSA000066|54|EALK991103MBCSMR07|KARLA|ESTRADA|LIMON|12|0|RULM221231HGTDXRA3|MARIO|RUEDA|LI|31/12/2022|142|11|1|1|-1|-1|-1|-1|1|2|08/01/2024|10|12.562|85|40|90|70|85|98|36.9|92|0|-1|1|1|K007|-1||-1||0|1|-1|1|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|1|2|1|1|1|1|1|0|-1|1|0|1|5|1
ASSSA000066|54|EALK991103MBCSMR07|KARLA|ESTRADA|LIMON|12|0|EAMG540621HMNSRD05|JOSE GUADALUPE|ESTRADA|MIRANDA|21/06/1954|142|16|1|1|2|2|0|-1|1|5|08/01/2024|10|85.5|178|90|110|70|120|85|37.2|85|120|1|1|1|K024|-1||-1||1|1|1|1|1|0|1|0|0|0|1|0|0|0|0|0|5|0|1|0|0|1|1|0|0|0|0|0|-1|1|0|1|5|1
ASSSA000066|142|EALK991103MBCSMR07|KARLA|ESTRADA|LIMON|12|0|MEMM920717MDFDNR04|MIRANDA|MEDINA|MENDOZA|17/07/1992|142|09|1|1|2|2|0|-1|2|1|08/01/2024|10|155|45|65|110|95|110|87|37|93|105|1|1|1|K035|-1||-1||1|0|1|0|1|0|0|1|0|0|0|0|0|0|1|0|1|0|1|0|0|0|0|1|1|1|1|1|-1|1|0|1|7|1
